query,link,score_description,score,,Searches - GA4 Item-list view events (3 months Feb to April),Clicks - GA4 Item-list click events (3 months Feb to April),Item-list CTR,Weighted sort (Expected True Value),clusterID
[postcode],,,,,"26,285",885,3%,54.04%,998
[email],,,,,"6,225",557,9%,61.08%,998
contact number,/contact-hmrc,3 perfect,3,,"6,838","1,755",26%,61.54%,868
contact number,/contact-ukvi-inside-outside-uk,3 perfect,3,,"6,838","1,755",26%,61.54%,868
contact number,/contact-the-dvla,3 perfect,3,,"6,838","1,755",26%,61.54%,868
contact number,/contact-jobcentre-plus,3 perfect,3,,"6,838","1,755",26%,61.54%,868
contact number,/contact-pension-service,3 perfect,3,,"6,838","1,755",26%,61.54%,868
web chat,/contact-hmrc,3 perfect,3,,"4,364",473,11%,61.70%,710
ni number,/national-insurance/your-national-insurance-number,3 perfect,3,,"3,465",295,9%,61.92%,466
ni number,/national-insurance,3 perfect,3,,"3,465",295,9%,61.92%,466
not,/check-mot-history,3 perfect,3,,"2,490",32,1%,62.12%,369
not,/check-mot-status,3 perfect,3,,"2,490",32,1%,62.12%,369
prs,/guidance/mot-testing-guide/abbreviations-and-definitions,2 good,2,,"5,230","1,774",34%,62.13%,118
ni,/national-insurance,3 perfect,3,,"7,905","3,530",45%,62.17%,463
pay as you earn,/log-in-register-hmrc-online-services,3 perfect,3,,"6,758","2,839",42%,62.19%,695
pay as you earn,/paye-for-employers,3 perfect,3,,"6,758","2,839",42%,62.19%,695
application,/sign-in-visa,3 perfect,3,,"2,758",551,20%,62.32%,225
notice 143,,,,,"2,135",236,11%,62.37%,1390
grants,/guidance/find-government-grants,3 perfect,3,,"6,641","3,081",46%,62.37%,382
log out,,,,,"1,755",21,1%,62.38%,934
sing in,/sign-in,3 perfect,3,,"1,741",22,1%,62.39%,1184
sing in,/log-in-register-hmrc-online-services,3 perfect,3,,"1,741",22,1%,62.39%,1184
hrmc,/log-in-register-hmrc-online-services,3 perfect,3,,"2,148",303,14%,62.40%,1152
hrmc,/contact-hmrc,3 perfect,3,,"2,148",303,14%,62.40%,1152
email,/contact-hmrc,2 good,2,,"2,716",682,25%,62.41%,729
dwp,/government/organisations/department-for-work-pensions,3 perfect,3,,"4,437","1,778",40%,62.42%,1007
gov.uk,,,,,"1,861",235,13%,62.46%,1253
live chat,/contact-hmrc,3 perfect,3,,"2,539",677,27%,62.47%,871
psw,/graduate-visa,3 perfect,3,,"1,874",272,15%,62.48%,1133
ilr,/government/collections/individualised-learner-record-ilr,2 good,2,,"3,858","1,532",40%,62.49%,788
ilr,/indefinite-leave-to-remain,3 perfect,3,,"3,858","1,532",40%,62.49%,788
a rated sponsorship,/uk-visa-sponsorship-employers/your-licence-rating,3 perfect,3,,"3,895","1,557",40%,62.49%,254
a rated sponsorship,/uk-visa-sponsorship-employers,3 perfect,3,,"3,895","1,557",40%,62.49%,254
phone number,/contact-hmrc,2 good,2,,"4,560","1,996",44%,62.50%,859
checklist,,,,,"2,010",393,20%,62.50%,756
online chat,/contact-hmrc,3 perfect,3,,"2,756",873,32%,62.51%,871
telephone number,/contact-hmrc,2 good,2,,"1,673",194,12%,62.51%,862
help,,,,,"2,518",733,29%,62.51%,913
cpd,/mot-tester-training-assessments,3 perfect,3,,"1,356",32,2%,62.53%,1143
forms,/government/collections/hmrc-forms,3 perfect,3,,"3,834","1,607",42%,62.54%,203
refund,/tax-overpayments-and-underpayments/if-youre-due-a-refund,3 perfect,3,,"3,432","1,401",41%,62.57%,448
